unique_values,counts
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],192
['Drug - negatively regulates - GeneFamily - positively regulates - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],160
['Drug - decreases activity of - GeneFamily - participates in - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],112
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - located in - GrossAnatomicalStructure - location of - Disease'],105
['Drug - decreases activity of - GeneFamily - positively regulates - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],79
['Drug - treats - Disease'],75
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - Disease'],61
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - manifestation of - Disease'],60
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - Disease'],60
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - negatively correlated with - Disease'],59
['Drug - decreases activity of - GeneFamily - positively regulates - BiologicalProcess - has output - CellularComponent - occurs in - OrganismTaxon - causes - Disease'],57
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - contributes to - Disease'],56
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],49
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],42
['Drug - increases activity of - Protein - increases abundance of - ChemicalSubstance - positively regulates - BiologicalProcess - positively correlated with - Disease'],37
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - increases abundance of - ChemicalSubstance - positively correlated with - Disease'],36
['Drug - decreases activity of - Protein - positively regulates - MolecularActivity - participates in - BiologicalProcess - causes - Disease'],35
['Drug - negatively regulates - ChemicalSubstance - located in - CellularComponent - participates in - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],35
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - manifestation of - Disease'],35
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],34
['Drug - increases activity of - Protein - increases abundance of - ChemicalSubstance - positively regulates - BiologicalProcess - has phenotype - PhenotypicFeature - manifestation of - Disease'],33
['Drug - decreases activity of - GeneFamily - positively regulates - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],33
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],31
['Drug - decreases activity of - Protein - positively regulates - MolecularActivity - participates in - BiologicalProcess - positively correlated with - Disease'],31
['Drug - positively regulates - BiologicalProcess - negatively correlated with - Disease'],29
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - contributes to - PhenotypicFeature - manifestation of - Disease'],29
[],29
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - increases abundance of - ChemicalSubstance - contributes to - Disease'],27
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - negatively correlated with - PhenotypicFeature - positively correlated with - Disease'],26
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - positively correlated with - Disease'],25
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - positively correlated with - Disease'],24
['Drug - negatively regulates - ChemicalSubstance - positively regulates - CellularComponent - in taxon - OrganismTaxon - causes - Disease'],24
['Drug - disrupts - CellularComponent - location of - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],22
['Drug - decreases activity of - CellularComponent - positively regulates - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],22
['Drug - negatively regulates - ChemicalSubstance - participates in - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],20
['Drug - decreases activity of - Protein - increases abundance of - ChemicalSubstance - participates in - BiologicalProcess - causes - Disease'],19
['Drug - negatively regulates - ChemicalSubstance - located in - CellularComponent - positively regulates - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],19
['Drug - decreases activity of - Protein - part of - BiologicalProcess - positively correlated with - Disease'],18
['Drug - decreases activity of - Protein - positively regulates - MolecularActivity - positively correlated with - BiologicalProcess - positively correlated with - Disease'],16
['Drug - positively regulates - Protein - positively regulates - MolecularActivity - positively correlated with - BiologicalProcess - positively correlated with - Disease'],15
['Drug - increases activity of - Protein - negatively regulates - BiologicalProcess - positively correlated with - Disease'],15
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - decreases abundance of - ChemicalSubstance - positively correlated with - Disease'],15
['Drug - negatively regulates - ChemicalSubstance - positively correlated with - Disease'],15
"['Drug - decreases activity of - Protein - participates in - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease', 'Drug - negatively regulates - ChemicalSubstance - participates in - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease']",15
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - contributes to - Disease'],14
['Drug - decreases activity of - Protein - participates in - Pathway - positively regulates - BiologicalProcess - causes - Disease'],14
['Drug - negatively regulates - BiologicalProcess - positively correlated with - Disease'],14
['Drug - decreases activity of - Protein - increases abundance of - ChemicalSubstance - positively regulates - BiologicalProcess - causes - Disease'],14
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],14
['Drug - increases activity of - Protein - negatively regulates - Pathway - positively regulates - BiologicalProcess - causes - Disease'],13
"['Drug - decreases activity of - Protein - part of - CellularComponent - participates in - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease', 'Drug - negatively regulates - ChemicalSubstance - located in - CellularComponent - participates in - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease']",13
['Drug - negatively regulates - GeneFamily - positively regulates - MolecularActivity - in taxon - OrganismTaxon - causes - Disease'],13
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - negatively correlated with - Disease'],12
['Drug - has metabolite - ChemicalSubstance - positively correlated with - Disease'],11
['Drug - decreases activity of - GeneFamily - positively correlated with - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],11
['Drug - disrupts - ChemicalSubstance - participates in - BiologicalProcess - positively correlated with - Disease'],11
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - manifestation of - Disease'],11
['Drug - decreases activity of - Protein - participates in - Pathway - increases abundance of - ChemicalSubstance - positively correlated with - PhenotypicFeature - manifestation of - Disease'],11
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - causes - Disease'],11
['Drug - produces - ChemicalSubstance - increases activity of - Protein - positively regulates - BiologicalProcess - located in - GrossAnatomicalStructure - location of - Disease'],11
['Drug - negatively regulates - GeneFamily - positively correlated with - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],11
['Drug - decreases activity of - ChemicalSubstance - positively regulates - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],11
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],11
['Drug - decreases activity of - Protein - positively correlated with - BiologicalProcess - positively correlated with - Disease'],10
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - negatively correlated with - Disease'],10
['Drug - decreases activity of - Protein - negatively regulates - BiologicalProcess - positively correlated with - Disease'],10
['Drug - negatively regulates - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],10
['Drug - has metabolite - ChemicalSubstance - positively correlated with - BiologicalProcess - positively correlated with - Disease'],10
['Drug - decreases activity of - Protein - positively regulates - Pathway - positively regulates - BiologicalProcess - causes - Disease'],10
['Drug - positively regulates - Protein - increases abundance of - ChemicalSubstance - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - manifestation of - Disease'],9
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],9
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - causes - Disease'],9
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - occurs in - Cell - participates in - Disease'],9
['Drug - decreases activity of - ChemicalSubstance - part of - Protein - part of - CellularComponent - participates in - MolecularActivity - positively correlated with - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],9
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - treats - Disease'],9
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - decreases abundance of - ChemicalSubstance - negatively correlated with - Disease'],9
['Drug - positively regulates - BiologicalProcess - disrupts - ChemicalSubstance - in taxon - OrganismTaxon - causes - Disease'],9
['Drug - negatively regulates - Protein - participates in - Pathway - increases abundance of - ChemicalSubstance - positively correlated with - BiologicalProcess - positively correlated with - Disease'],8
['Drug - decreases activity of - Protein - decreases abundance of - ChemicalSubstance - positively regulates - BiologicalProcess - negatively correlated with - Disease'],8
['Drug - decreases activity of - Protein - negatively regulates - BiologicalProcess - negatively correlated with - Disease'],8
['Drug - decreases activity of - Protein - participates in - Pathway - increases abundance of - ChemicalSubstance - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],8
"['Drug - has metabolite - ChemicalSubstance - negatively regulates - Protein - located in - CellularComponent - positively regulates - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease', 'Drug - has metabolite - ChemicalSubstance - located in - CellularComponent - positively regulates - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease']",8
['Drug - decreases activity of - GeneFamily - actively involved in - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],8
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - increases abundance of - ChemicalSubstance - positively correlated with - PhenotypicFeature - manifestation of - Disease'],8
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - negatively correlated with - PhenotypicFeature - manifestation of - Disease'],8
['Drug - positively regulates - Protein - participates in - BiologicalProcess - negatively correlated with - Disease'],8
['Drug - negatively regulates - ChemicalSubstance - positively correlated with - Protein - participates in - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],8
['Drug - positively regulates - Protein - negatively correlated with - PhenotypicFeature - manifestation of - Disease'],8
['Drug - negatively regulates - Protein - positively regulates - MolecularActivity - in taxon - OrganismTaxon - causes - Disease'],8
['Drug - subclass of - ChemicalSubstance - positively correlated with - Disease'],8
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - occurs in - Disease'],8
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - treats - Disease'],8
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - affects risk for - Disease'],8
['Drug - disrupts - ChemicalSubstance - participates in - BiologicalProcess - occurs in - PhenotypicFeature - occurs in - Disease'],8
"['Drug - decreases activity of - Protein - positively correlated with - BiologicalProcess - positively correlated with - PhenotypicFeature - located in - GrossAnatomicalStructure - location of - Disease', 'Drug - decreases activity of - Protein - positively correlated with - BiologicalProcess - negatively correlated with - Disease', 'Drug - increases abundance of - ChemicalSubstance - positively correlated with - BiologicalProcess - positively correlated with - PhenotypicFeature - located in - GrossAnatomicalStructure - location of - Disease', 'Drug - increases abundance of - ChemicalSubstance - positively correlated with - BiologicalProcess - negatively correlated with - Disease']",8
['Drug - negatively regulates - Protein - positively regulates - Cell - contributes to - Disease'],8
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - located in - GrossAnatomicalStructure - location of - Disease'],8
['Drug - has metabolite - ChemicalSubstance - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - contributes to - Disease'],8
['Drug - has metabolite - ChemicalSubstance - increases activity of - Protein - positively regulates - BiologicalProcess - located in - GrossAnatomicalStructure - location of - Disease'],8
['Drug - negatively regulates - Protein - positively regulates - MolecularActivity - participates in - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],7
"['Drug - negatively regulates - BiologicalProcess - positively correlated with - Disease', 'Drug - increases abundance of - ChemicalSubstance - negatively correlated with - Disease']",7
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - has phenotype - PhenotypicFeature - contributes to - Disease'],7
['Drug - molecularly interacts with - ChemicalSubstance - disrupts - OrganismTaxon - causes - Disease'],7
['Drug - negatively regulates - Protein - positively regulates - MolecularActivity - participates in - BiologicalProcess - causes - Disease'],7
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - positively correlated with - GrossAnatomicalStructure - affects risk for - Disease'],7
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - increases abundance of - ChemicalSubstance - contributes to - Disease'],7
['Drug - decreases activity of - Protein - increases abundance of - ChemicalSubstance - positively correlated with - Disease'],7
['Drug - has metabolite - ChemicalSubstance - decreases activity of - Protein - positively regulates - MolecularActivity - participates in - BiologicalProcess - positively correlated with - Disease'],7
['Drug - produces - ChemicalSubstance - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - contributes to - Disease'],7
['Drug - contraindicated for - Disease'],7
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - caused by - OrganismTaxon - causes - Disease'],7
['Drug - decreases activity of - Protein - positively correlated with - ChemicalSubstance - positively regulates - BiologicalProcess - correlated with - Disease'],7
['Drug - decreases activity of - Protein - increases abundance of - ChemicalSubstance - positively correlated with - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],7
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - increases abundance of - ChemicalSubstance - positively regulates - GeneFamily - contributes to - Disease'],7
"['Drug - negatively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - manifestation of - Disease', 'Drug - negatively regulates - BiologicalProcess - negatively correlated with - Disease', 'Drug - decreases abundance of - CellularComponent - has participant - Protein - positively correlated with - BiologicalProcess - positively correlated with - PhenotypicFeature - manifestation of - Disease', 'Drug - decreases abundance of - CellularComponent - has participant - Protein - positively correlated with - BiologicalProcess - negatively correlated with - Disease', 'Drug - increases abundance of - ChemicalSubstance - positively correlated with - BiologicalProcess - positively correlated with - PhenotypicFeature - manifestation of - Disease', 'Drug - increases abundance of - ChemicalSubstance - positively correlated with - BiologicalProcess - negatively correlated with - Disease']",7
['Drug - decreases activity of - Protein - participates in - MolecularActivity - positively regulates - BiologicalProcess - located in - GrossAnatomicalStructure - contributes to - Disease'],7
['Drug - decreases activity of - Protein - positively regulates - MolecularActivity - participates in - BiologicalProcess - has phenotype - PhenotypicFeature - manifestation of - Disease'],7
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - contributes to - PhenotypicFeature - manifestation of - Disease'],7
['Drug - positively regulates - Protein - positively regulates - BiologicalProcess - negatively correlated with - Disease'],7
['Drug - has metabolite - ChemicalSubstance - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],7
['Drug - has metabolite - ChemicalSubstance - decreases activity of - Protein - positively regulates - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],6
"['Drug - decreases activity of - Protein - participates in - BiologicalProcess - negatively correlated with - Disease', 'Drug - disrupts - ChemicalSubstance - participates in - BiologicalProcess - negatively correlated with - Disease']",6
['Drug - increases activity of - Protein - participates in - BiologicalProcess - causes - Disease'],6
"['Drug - molecularly interacts with - Protein - increases abundance of - ChemicalSubstance - treats - Disease', 'Drug - molecularly interacts with - Protein - positively regulates - BiologicalProcess - positively correlated with - ChemicalSubstance - treats - Disease']",6
['Drug - part of - ChemicalSubstance - negatively regulates - BiologicalProcess - occurs in - GrossAnatomicalStructure - location of - Disease'],6
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - positively regulates - GrossAnatomicalStructure - occurs in - Disease'],6
['Drug - has metabolite - ChemicalSubstance - increases activity of - Protein - positively regulates - BiologicalProcess - negatively correlated with - Disease'],6
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - causes - Disease'],6
['Drug - negatively regulates - GeneFamily - positively regulates - BiologicalProcess - correlated with - PhenotypicFeature - manifestation of - Disease'],6
['Drug - negatively regulates - GeneFamily - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],6
['Drug - decreases activity of - GeneFamily - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],6
['Drug - disrupts - ChemicalSubstance - in taxon - OrganismTaxon - causes - Disease'],6
['Drug - decreases activity of - Protein - negatively regulates - BiologicalProcess - located in - CellularComponent - correlated with - Disease'],6
['Drug - has metabolite - ChemicalSubstance - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - manifestation of - Disease'],6
['Drug - decreases activity of - Protein - disrupts - ChemicalSubstance - negatively regulates - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],6
['Drug - negatively regulates - Protein - positively regulates - MolecularActivity - positively correlated with - BiologicalProcess - positively correlated with - Disease'],6
"['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - Disease', 'Drug - negatively regulates - MolecularActivity - positively correlated with - ChemicalSubstance - positively correlated with - BiologicalProcess - positively correlated with - Disease']",6
['Drug - has metabolite - ChemicalSubstance - increases activity of - Protein - positively regulates - BiologicalProcess - contributes to - PhenotypicFeature - manifestation of - Disease'],6
['Drug - increases abundance of - ChemicalSubstance - negatively correlated with - Disease'],6
['Drug - decreases activity of - Protein - positively correlated with - ChemicalSubstance - positively regulates - GrossAnatomicalStructure - positively regulates - BiologicalProcess - manifestation of - Disease'],6
['Drug - decreases activity of - ChemicalSubstance - located in - CellularComponent - participates in - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],6
"['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - contributes to - Disease', 'Drug - decreases activity of - GeneFamily - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - contributes to - Disease']",6
['Drug - negatively regulates - ChemicalSubstance - located in - CellularComponent - positively regulates - BiologicalProcess - occurs in - OrganismTaxon - occurs in - Disease'],6
"['Drug - decreases activity of - Protein - increases abundance of - ChemicalSubstance - causes - BiologicalProcess - affects risk for - Disease', 'Drug - decreases activity of - Protein - increases abundance of - ChemicalSubstance - causes - Disease']",6
['Drug - disrupts - ChemicalSubstance - location of - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],6
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - located in - Cell - positively correlated with - Disease'],6
['Drug - positively regulates - Protein - positively regulates - MolecularActivity - positively correlated with - BiologicalProcess - negatively correlated with - Disease'],6
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - produces - ChemicalSubstance - located in - CellularComponent - regulates - PhenotypicFeature - in taxon - OrganismTaxon - causes - Disease'],6
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - contributes to - PhenotypicFeature - positively correlated with - Disease'],6
['Drug - decreases activity of - Protein - increases abundance of - ChemicalSubstance - participates in - BiologicalProcess - positively correlated with - Disease'],6
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - increases abundance of - ChemicalSubstance - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],6
['Drug - positively regulates - Protein - increases abundance of - ChemicalSubstance - positively correlated with - BiologicalProcess - located in - GrossAnatomicalStructure - affected by - Disease'],6
['Drug - decreases activity of - Protein - increases abundance of - ChemicalSubstance - participates in - BiologicalProcess - contributes to - Disease'],6
['Drug - produces - ChemicalSubstance - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],6
['Drug - has metabolite - ChemicalSubstance - negatively regulates - GeneFamily - positively regulates - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],6
['Drug - decreases abundance of - ChemicalSubstance - positively correlated with - Disease'],6
"['Drug - decreases activity of - Protein - participates in - MolecularActivity - participates in - BiologicalProcess - causes - Disease', 'Drug - negatively regulates - BiologicalProcess - causes - Disease']",6
['Drug - decreases activity of - GeneFamily - positively correlated with - BiologicalProcess - positively correlated with - Disease'],5
['Drug - decreases activity of - GeneFamily - negatively regulates - MolecularActivity - increases abundance of - ChemicalSubstance - positively regulates - BiologicalProcess - negatively correlated with - Disease'],5
['Drug - decreases activity of - Protein - positively correlated with - ChemicalSubstance - positively correlated with - Disease'],5
['Drug - decreases activity of - Protein - positively regulates - MolecularActivity - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - manifestation of - Disease'],5
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - affects risk for - Disease'],5
['Drug - subclass of - ChemicalSubstance - positively regulates - BiologicalProcess - treats - Disease'],5
['Drug - has metabolite - ChemicalSubstance - positively regulates - Protein - negatively regulates - BiologicalProcess - positively correlated with - Disease'],5
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - ChemicalSubstance - participates in - Disease'],5
"['Drug - increases activity of - Protein - positively regulates - Pathway - negatively regulates - BiologicalProcess - positively regulates - Cell - positively correlated with - Disease', 'Drug - increases activity of - Protein - participates in - BiologicalProcess - positively regulates - Cell - positively correlated with - Disease']",5
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - affects risk for - Disease'],5
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - increases abundance of - ChemicalSubstance - positively regulates - GeneFamily - positively correlated with - Disease'],5
"['Drug - disrupts - ChemicalSubstance - located in - CellularComponent - in taxon - OrganismTaxon - causes - Disease', 'Drug - negatively regulates - GeneFamily - part of - CellularComponent - in taxon - OrganismTaxon - causes - Disease']",5
