unique_values,counts
['Drug - Protein - BiologicalProcess - Disease'],511
['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease'],444
['Drug - GeneFamily - BiologicalProcess - OrganismTaxon - Disease'],414
['Drug - Protein - BiologicalProcess - OrganismTaxon - Disease'],336
['Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease'],162
['Drug - Protein - BiologicalProcess - GrossAnatomicalStructure - Disease'],159
['Drug - Protein - MolecularActivity - BiologicalProcess - Disease'],143
['Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease'],142
['Drug - ChemicalSubstance - Disease'],86
['Drug - Disease'],85
['Drug - BiologicalProcess - Disease'],74
['Drug - Protein - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease'],70
['Drug - ChemicalSubstance - CellularComponent - BiologicalProcess - OrganismTaxon - Disease'],68
['Drug - GeneFamily - BiologicalProcess - CellularComponent - OrganismTaxon - Disease'],62
['Drug - ChemicalSubstance - Protein - BiologicalProcess - PhenotypicFeature - Disease'],59
['Drug - Protein - Pathway - BiologicalProcess - Disease'],58
['Drug - ChemicalSubstance - BiologicalProcess - Disease'],56
['Drug - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease'],53
['Drug - CellularComponent - BiologicalProcess - OrganismTaxon - Disease'],52
['Drug - ChemicalSubstance - BiologicalProcess - OrganismTaxon - Disease'],46
['Drug - Protein - ChemicalSubstance - Disease'],45
['Drug - GeneFamily - BiologicalProcess - Disease'],40
['Drug - Protein - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease'],38
['Drug - Protein - BiologicalProcess - Cell - Disease'],32
['Drug - Protein - MolecularActivity - BiologicalProcess - PhenotypicFeature - Disease'],32
['Drug - ChemicalSubstance - Protein - BiologicalProcess - Disease'],31
[],29
['Drug - ChemicalSubstance - CellularComponent - OrganismTaxon - Disease'],29
['Drug - ChemicalSubstance - PhenotypicFeature - Disease'],28
['Drug - Protein - Pathway - ChemicalSubstance - PhenotypicFeature - Disease'],24
['Drug - ChemicalSubstance - Protein - BiologicalProcess - GrossAnatomicalStructure - Disease'],22
['Drug - Protein - PhenotypicFeature - Disease'],22
['Drug - ChemicalSubstance - Protein - BiologicalProcess - OrganismTaxon - Disease'],21
['Drug - Protein - BiologicalProcess - GrossAnatomicalStructure - PhenotypicFeature - Disease'],21
['Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease'],19
['Drug - Protein - MolecularActivity - BiologicalProcess - OrganismTaxon - Disease'],18
['Drug - Protein - Disease'],17
['Drug - Protein - ChemicalSubstance - PhenotypicFeature - Disease'],15
['Drug - Protein - Pathway - BiologicalProcess - PhenotypicFeature - Disease'],15
"['Drug - Protein - BiologicalProcess - OrganismTaxon - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - OrganismTaxon - Disease']",15
['Drug - BiologicalProcess - OrganismTaxon - Disease'],14
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",14
['Drug - ChemicalSubstance - OrganismTaxon - Disease'],14
['Drug - Protein - BiologicalProcess - PhenotypicFeature - GrossAnatomicalStructure - Disease'],14
['Drug - Protein - ChemicalSubstance - BiologicalProcess - OrganismTaxon - Disease'],13
['Drug - Protein - Pathway - ChemicalSubstance - BiologicalProcess - Disease'],13
['Drug - Protein - Cell - Disease'],13
"['Drug - Protein - CellularComponent - BiologicalProcess - OrganismTaxon - Disease', 'Drug - ChemicalSubstance - CellularComponent - BiologicalProcess - OrganismTaxon - Disease']",13
['Drug - GeneFamily - MolecularActivity - OrganismTaxon - Disease'],13
['Drug - Protein - Pathway - ChemicalSubstance - Disease'],12
['Drug - Protein - BiologicalProcess - ChemicalSubstance - GeneFamily - Disease'],12
['Drug - Protein - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - Disease'],12
['Drug - BiologicalProcess - PhenotypicFeature - Disease'],12
['Drug - MolecularActivity - BiologicalProcess - Disease'],12
"['Drug - Protein - MolecularActivity - BiologicalProcess - Disease', 'Drug - BiologicalProcess - Disease']",11
['Drug - BiologicalProcess - ChemicalSubstance - OrganismTaxon - Disease'],11
['Drug - ChemicalSubstance - GeneFamily - BiologicalProcess - OrganismTaxon - Disease'],11
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - Disease']",11
['Drug - ChemicalSubstance - Protein - MolecularActivity - BiologicalProcess - Disease'],10
['Drug - Protein - GrossAnatomicalStructure - BiologicalProcess - Disease'],10
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease']",10
['Drug - Protein - MolecularActivity - OrganismTaxon - Disease'],9
